photo_number,plant_id,total_root_length,longest_root,plant_type,rhizome_present,,,,,
183,30,626.29,16.52,mining,n,,,,,
185,126,943.47,8.77,mixed,n,,,,,
187,141,980.1,11.1,mixed,y,,,,,
188,24,869.43,12.82,mining,n,,,,,
190,152,747.34,12.89,matted,n,,,,,
193,5,627.77,15.61,mining,n,,,,,
195,32,727.48,16.36,mining,n,,,,,
197,62,960.84,11.15,mixed,n,,,,,
199,144,172.55,7.33,matted,n,,,,,
201,22,1130.97,9.61,matted,n,,,,,
203,36,798.52,13.56,mixed,n,,,,,
204,7,283.06,6.61,mixed,n,,,,,
205,11,884.69,9.64,matted,n,,,,,
207,81,504.6,8.93,mixed,n,,,,,
209,130,155.11,13.67,mining,n,,,,,
210,64,712.3,15.13,mining,n,,,,,
211,109,563.51,8.7,matted,n,,,,,
212,132,626.14,12.65,mining,n,,,,,
213,87,522.96,6.7,matted,n,,,,,
215,88,821.01,8.76,matted,y,,,,,
216,134,422.17,7.98,mixed,n,,,,,
218,93,659.21,6.67,matted,n,,,,,
219,128,423.12,8.29,matted,n,,,,,
220,16,789.74,12.78,mining,n,,,,,
223,102,839.81,8.21,mixed,n,,,,,
224,139,673.58,10.77,matted,n,,,,,
225,86,551.79,9.1,mixed,n,,,,,
226,117,395.29,8.91,matted,n,,,,,
228,37,1597.04,13.82,mixed,n,,,,,
230,25,1152.18,14.17,matted,n,,,,,
231,160,978.02,9.85,mixed,n,,,,,
232,59,876.15,12.47,mining,n,,,,,
233,125,466.34,7.9,mixed,n,,,,,
234,112,605.87,10.9,mixed,n,,,,,
235,146,905.96,8.6,matted,n,,,,,
237,138,760.4,11.28,mixed,n,,,,,
238,133,551.09,11.29,mixed,n,,,,,
239,113,670.36,8.8,matted,n,,,,,
240,41,745.2,16.03,matted,n,,,,,
241,115,542.01,8.46,matted,n,,,,,
242,116,614,6.76,matted,n,,,,,
243,46,828.79,13.91,mining,n,,,,,
245,56,1007.77,12.09,matted,n,,,,,
247,47,779.56,11.49,mining,n,,,,,
249,70,835.01,16.82,mining,n,,,,,
251,91,866.69,12.08,mixed,n,,,,,
253,147,727.73,7.32,matted,n,,,,,
255,131,633.05,10.19,mixed,y,,,,,
257,3,664.93,12.9,mining,y,,,,,
259,145,366.06,10.64,mining,n,,,,,
260,6,669.41,14.95,mining,n,,,,,
407,9,899.5,21.89,mining,n,,,,,
410,106,1122.98,13.46,mining,y,,,,,
414,15,985.53,28.19,mining,y,,,,,
416,10,968.02,15.97,mixed,n,,,,,
419,79,1609.27,14.48,mixed,y,,,,,
421,61,1014.8,13.84,mixed,n,,,,,
439,51,1195.07,11.06,matted,n,,,,,
442,23,898.82,16.75,matted,y,,,,,
443,77,1166.92,10.3,matted,n,,,,,
445,18,1017.24,13.47,matted,y,,,,,
448,65,1351.6,15.64,matted,y,,,,,
449,74,1035.57,13.45,mixed,n,,,,,
452,111,770.79,10.84,mixed,n,,,,,
454,83,331.99,9.35,mining,n,,,,,
455,60,1068.98,13.59,mixed,n,,,,,
457,76,1034.88,14.01,matted,y,,,,,
459,75,1103.96,13.28,matted,n,,,,,
461,121,524.21,8.68,matted,n,,,,,
465,143,878.33,10.34,matted,n,,,,,
467,12,904.64,17.61,mining,n,,,,,
470,120,1104.62,14.41,matted,n,,,,,
471,136,1371.81,11.01,matted,y,,,,,
472,68,304.9,16.95,mining,n,,,,,
473,69,1458.19,13.66,mixed,n,,,,,
474,100,663.97,9.18,matted,y,,,,,
477,108,1038.25,12.71,matted,n,,,,,
479,142,697.45,8.03,matted,n,,,,,
480,98,913.38,15.49,mixed,n,,,,,
481,96,1052.44,8.38,matted,y,,,,,
484,82,783.11,10.43,mixed,y,,,,,
485,90,825.28,8.97,matted,n,,,,,
487,148,1019.33,9.3,mixed,n,,,,,
489,127,830.35,8.21,matted,y,,,,,
490,85,609.16,9.4,mining,n,,,,,
491,94,717.73,8.89,matted,n,,,,,
493,38,1044.02,12.4,mixed,y,,,,,
495,45,1105.52,14.26,mining,y,,,,,
497,119,675.24,8.35,matted,y,,,,,
499,157,420.03,8.87,mixed,n,,,,,
500,105,741.61,11.48,matted,n,,,,,
501,84,546.46,9.08,mixed,n,,,,,
503,63,949.47,8.64,matted,n,,,,,
504,97,701.52,9.57,matted,n,,,,,
506,66,743.78,17.01,matted,n,,,,,
508,137,827.32,14.73,mining,y,,,,,
511,151,855.92,14.23,mixed,n,,,,,
513,159,895.84,11.6,matted,n,,,,,
514,43,561.58,9.72,mixed,n,,,,,
517,54,1180.42,10.33,matted,y,,,,,
518,153,918.91,10.29,matted,n,,,,,
520,20,846.93,12.92,mining,n,,,,,
522,14,1081.49,14.83,mining,n,,,,,
524,33,649.35,11.2,mixed,n,,,,,
526,4,582.41,10.76,mixed,n,,,,,
547,114,697.76,12.02,mining,n,,,,,
548,48,1306.8,16.42,mixed,n,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
